group_name,language,region,genre,purpose,posting_rules,best_times_local,cooldown_hours
RP-Nigeria-Romance-Audiobook-001,fr,Nigeria,Romance,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Self-Help-BookTok-163,en,UK,Self-Help,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-Finance-Review-164,fr,India,Finance,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-Self-Help-Giveaway-165,fr,Global,Self-Help,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Kenya-Poetry-Newsletter-166,fr,Kenya,Poetry,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-France-Self-Help-Audiobook-167,fr,France,Self-Help,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-Tech-KDP Tips-168,en,Nigeria,Tech,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Health-Giveaway-169,en,UK,Health,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Tech-Giveaway-170,en,France,Tech,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-France-Thriller-Newsletter-171,fr,France,Thriller,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Tech-Audiobook-172,fr,Canada,Tech,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Finance-BookTube-173,fr,Gabon,Finance,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Finance-BookTube-174,en,Gabon,Finance,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-Tech-BookTok-175,en,South Africa,Tech,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Business-BookTube-176,en,Global,Business,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Romance-BookTok-177,en,US,Romance,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cote d'Ivoire-Politics-BookTube-178,en,Cote d'Ivoire,Politics,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Health-Giveaway-179,fr,US,Health,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Finance-KDP Tips-180,en,Kenya,Finance,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Politics-Giveaway-181,en,Cameroon,Politics,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Self-Help-Giveaway-182,fr,US,Self-Help,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cote d'Ivoire-Health-BookTube-183,en,Cote d'Ivoire,Health,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-France-Poetry-BookTube-184,fr,France,Poetry,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Business-KDP Tips-185,fr,Nigeria,Business,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-Politics-Audiobook-186,en,India,Politics,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Politics-BookTube-187,fr,South Africa,Politics,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Politics-Audiobook-188,en,France,Politics,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Health-BookTok-189,fr,South Africa,Health,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Thriller-Giveaway-190,fr,South Africa,Thriller,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-Health-Audiobook-191,fr,Canada,Health,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cameroon-Romance-Giveaway-192,fr,Cameroon,Romance,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Health-BookTok-193,fr,South Africa,Health,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Self-Help-Launch-194,fr,Canada,Self-Help,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-History-BookTok-195,fr,US,History,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-History-Newsletter-196,en,Cameroon,History,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Fantasy-KDP Tips-197,fr,Gabon,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-Romance-Review-198,fr,Canada,Romance,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cameroon-Poetry-Launch-199,fr,Cameroon,Poetry,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cote d'Ivoire-History-BookTube-200,fr,Cote d'Ivoire,History,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Politics-KDP Tips-201,fr,Canada,Politics,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Politics-Review-202,en,UK,Politics,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-Self-Help-BookTube-203,fr,Nigeria,Self-Help,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Global-Faith-Giveaway-204,en,Global,Faith,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-History-Newsletter-205,fr,Nigeria,History,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Self-Help-Newsletter-206,fr,UK,Self-Help,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Politics-Newsletter-207,en,US,Politics,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cote d'Ivoire-Thriller-BookTok-208,fr,Cote d'Ivoire,Thriller,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Fantasy-KDP Tips-209,fr,Nigeria,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Tech-Audiobook-210,fr,Gabon,Tech,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Fantasy-Audiobook-211,en,Gabon,Fantasy,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Gabon-Romance-Newsletter-212,en,Gabon,Romance,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Fantasy-BookTube-213,fr,Kenya,Fantasy,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-Thriller-BookTube-214,en,India,Thriller,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Poetry-Audiobook-215,en,Canada,Poetry,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Self-Help-Review-216,en,France,Self-Help,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Thriller-BookTok-217,fr,Canada,Thriller,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Romance-Audiobook-218,fr,Cameroon,Romance,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Thriller-Newsletter-219,fr,UK,Thriller,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Faith-Audiobook-220,en,Nigeria,Faith,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-History-Newsletter-221,fr,Nigeria,History,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-Health-BookTok-222,fr,UK,Health,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-History-BookTok-223,en,UK,History,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-Self-Help-BookTube-224,en,India,Self-Help,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Business-KDP Tips-225,en,France,Business,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Romance-Audiobook-226,fr,US,Romance,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Faith-Launch-227,fr,Nigeria,Faith,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Tech-Newsletter-228,en,UK,Tech,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Self-Help-KDP Tips-229,en,Nigeria,Self-Help,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Health-BookTube-230,en,France,Health,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Kenya-Tech-Giveaway-231,fr,Kenya,Tech,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-History-BookTube-232,en,India,History,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Tech-BookTok-233,en,India,Tech,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cote d'Ivoire-History-Launch-234,fr,Cote d'Ivoire,History,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Poetry-Giveaway-235,en,US,Poetry,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-Finance-KDP Tips-236,en,South Africa,Finance,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cameroon-Fantasy-Audiobook-237,fr,Cameroon,Fantasy,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Tech-Audiobook-238,fr,Nigeria,Tech,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Politics-Giveaway-239,en,UK,Politics,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Thriller-KDP Tips-240,en,Canada,Thriller,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-History-Review-241,fr,Cameroon,History,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Romance-Newsletter-242,fr,Gabon,Romance,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Finance-Review-243,fr,Cameroon,Finance,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-History-Review-244,en,South Africa,History,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-History-Audiobook-245,fr,Nigeria,History,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-Thriller-Audiobook-246,en,Canada,Thriller,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Kenya-Fantasy-Review-247,en,Kenya,Fantasy,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Health-Newsletter-248,fr,Cameroon,Health,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Faith-KDP Tips-249,en,UK,Faith,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Kenya-Finance-BookTube-250,fr,Kenya,Finance,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Faith-Review-251,en,India,Faith,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Poetry-KDP Tips-252,en,Cameroon,Poetry,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-Politics-Audiobook-253,fr,India,Politics,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-History-Audiobook-254,en,Cameroon,History,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Kenya-Self-Help-Launch-255,fr,Kenya,Self-Help,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Business-KDP Tips-256,en,Gabon,Business,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-Self-Help-Giveaway-257,fr,UK,Self-Help,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Faith-BookTok-258,fr,Global,Faith,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-Fantasy-Audiobook-259,fr,UK,Fantasy,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Tech-KDP Tips-260,fr,Nigeria,Tech,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Gabon-Finance-BookTok-261,fr,Gabon,Finance,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Faith-Launch-262,en,Canada,Faith,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Self-Help-BookTok-263,en,India,Self-Help,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Poetry-Launch-264,fr,France,Poetry,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-History-Newsletter-265,fr,Nigeria,History,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Politics-BookTok-266,fr,UK,Politics,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Poetry-BookTok-267,fr,UK,Poetry,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Fantasy-Review-268,en,South Africa,Fantasy,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Finance-Newsletter-269,en,Nigeria,Finance,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Business-Review-270,fr,India,Business,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-Health-KDP Tips-271,fr,Canada,Health,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-Faith-Newsletter-272,en,India,Faith,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-History-Giveaway-273,fr,India,History,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Self-Help-Review-274,fr,France,Self-Help,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Business-BookTube-275,en,US,Business,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Finance-Audiobook-276,fr,UK,Finance,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Global-Tech-Giveaway-277,fr,Global,Tech,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Gabon-Thriller-BookTok-278,en,Gabon,Thriller,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cameroon-Fantasy-KDP Tips-279,en,Cameroon,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Business-Review-280,fr,Gabon,Business,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-History-Review-281,en,Canada,History,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Tech-Launch-282,en,Cameroon,Tech,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Health-Giveaway-283,fr,Gabon,Health,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Kenya-Faith-Launch-284,en,Kenya,Faith,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-Finance-Newsletter-285,fr,Global,Finance,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Business-Review-286,en,Kenya,Business,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Health-Launch-287,fr,US,Health,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Faith-BookTube-288,en,Global,Faith,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Faith-Launch-289,en,Canada,Faith,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Tech-BookTok-290,en,US,Tech,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Self-Help-BookTok-291,fr,Cameroon,Self-Help,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-Health-Audiobook-292,fr,India,Health,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Fantasy-Giveaway-293,fr,Cameroon,Fantasy,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Finance-BookTok-294,en,South Africa,Finance,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cote d'Ivoire-Health-BookTube-295,en,Cote d'Ivoire,Health,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Finance-Review-296,en,Global,Finance,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Fantasy-Review-297,en,US,Fantasy,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-France-Fantasy-KDP Tips-298,fr,France,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Tech-Newsletter-299,fr,UK,Tech,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Thriller-BookTok-300,fr,Cameroon,Thriller,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-Business-BookTok-301,fr,Canada,Business,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Self-Help-BookTok-302,en,France,Self-Help,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Self-Help-BookTok-303,en,Cameroon,Self-Help,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Finance-BookTube-304,fr,UK,Finance,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Poetry-BookTube-305,fr,South Africa,Poetry,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Romance-Launch-306,fr,South Africa,Romance,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Kenya-Politics-Newsletter-307,fr,Kenya,Politics,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Health-Giveaway-308,en,South Africa,Health,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Romance-Audiobook-309,fr,South Africa,Romance,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Tech-BookTube-310,en,UK,Tech,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Poetry-BookTok-311,fr,South Africa,Poetry,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Kenya-Self-Help-Giveaway-312,en,Kenya,Self-Help,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-Poetry-Review-313,fr,India,Poetry,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Business-Giveaway-314,fr,UK,Business,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Poetry-Giveaway-315,en,US,Poetry,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Fantasy-Giveaway-316,fr,Cameroon,Fantasy,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cote d'Ivoire-Business-Launch-317,en,Cote d'Ivoire,Business,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-Thriller-KDP Tips-318,fr,Global,Thriller,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Finance-Launch-319,en,Canada,Finance,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Kenya-Poetry-Review-320,en,Kenya,Poetry,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Self-Help-KDP Tips-321,en,Cameroon,Self-Help,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Tech-Review-322,en,Nigeria,Tech,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Finance-Launch-323,fr,Gabon,Finance,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Finance-Giveaway-324,en,Cameroon,Finance,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
